,Drug,Disease
17996,CHOLECALCIFEROL,melanoma
17997,NIMOTUZUMAB,squamous cell carcinoma
18004,DOXORUBICIN,endometrial adenosquamous carcinoma
18006,EPACADOSTAT,melanoma
18011,SARGRAMOSTIM,Uveal Melanoma
18012,DURVALUMAB,head and neck squamous cell carcinoma
18021,FLUOROURACIL,squamous cell carcinoma
18025,CEMIPLIMAB,cutaneous squamous cell carcinoma
18026,ERLOTINIB,head and neck squamous cell carcinoma
18031,CETUXIMAB,oropharynx squamous cell carcinoma
18034,MELATONIN,oral squamous cell carcinoma
18037,FILGRASTIM,adult T-cell leukemia/lymphoma
18039,ATEZOLIZUMAB,melanoma
18041,INTERFERON ALFA-2B,cutaneous melanoma
18045,PEMBROLIZUMAB,melanoma
18046,DOXORUBICIN,Dermatofibrosarcoma protuberans
18049,SELUMETINIB,Uveal Melanoma
18052,ACETAMINOPHEN,Extramammary Paget Disease
18058,NALOXONE,Sezary's disease
18062,BEXAROTENE,mycosis fungoides
18064,ALEMTUZUMAB,extranodal nasal NK/T cell lymphoma
18072,ERLOTINIB,squamous cell carcinoma
18073,CAPECITABINE,esophageal squamous cell carcinoma
18074,AFLIBERCEPT,melanoma
18085,CAPECITABINE,squamous cell carcinoma
18087,PANITUMUMAB,squamous cell carcinoma
18094,FILGRASTIM,cutaneous melanoma
18096,SARGRAMOSTIM,cutaneous melanoma
18097,NIVOLUMAB,head and neck squamous cell carcinoma
18103,DURVALUMAB,esophageal squamous cell carcinoma
18113,IMIQUIMOD,lentigo maligna melanoma
18119,PEGFILGRASTIM,endometrial adenosquamous carcinoma
18121,IPILIMUMAB,mucosal melanoma
18124,IPILIMUMAB,cutaneous melanoma
18130,CETUXIMAB,squamous cell carcinoma
18131,NIVOLUMAB,cutaneous melanoma
18144,METHOTREXATE,extranodal nasal NK/T cell lymphoma
18158,PEMBROLIZUMAB,mucosal melanoma
18161,ALDESLEUKIN,melanoma
18181,METHOTREXATE,squamous cell carcinoma
18191,NIMOTUZUMAB,esophageal squamous cell carcinoma
18201,ATEZOLIZUMAB,esophageal squamous cell carcinoma
18203,PEMBROLIZUMAB,cutaneous melanoma
18221,ETOPOSIDE,adult T-cell leukemia/lymphoma
18232,TREMELIMUMAB,melanoma
18234,INTERFERON ALFA-2B,mucosal melanoma
18243,ATEZOLIZUMAB,head and neck squamous cell carcinoma
18244,TOPOTECAN,cervical squamous cell carcinoma
18254,SARGRAMOSTIM,mucosal melanoma
18259,EVEROLIMUS,skin cancer
18273,FLUDARABINE PHOSPHATE,melanoma
18274,METFORMIN,melanoma
18275,METFORMIN,metastatic melanoma
18277,FLUDARABINE PHOSPHATE,mycosis fungoides
18279,CYTARABINE,adult T-cell leukemia/lymphoma
18280,METFORMIN,esophageal squamous cell carcinoma
18281,PAZOPANIB,melanoma
18282,METFORMIN,squamous cell carcinoma
18283,SUNITINIB,melanoma
18285,SORAFENIB,laryngeal squamous cell carcinoma
18286,RILUZOLE,cutaneous melanoma
18287,DOCETAXEL,cervical squamous cell carcinoma
18288,VANDETANIB,head and neck squamous cell carcinoma
18289,IXABEPILONE,melanoma
18290,HYDROXYCHLOROQUINE,cutaneous melanoma
18291,GEMCITABINE,melanoma
18292,VINORELBINE,metastatic melanoma
18293,VANDETANIB,verrucous carcinoma
18294,THALIDOMIDE,Ocular Melanoma
18295,AZD-4547,squamous cell carcinoma
18299,ENTINOSTAT,melanoma
18301,IXABEPILONE,nasal cavity and paranasal sinus squamous cell carcinoma
18302,DOCETAXEL,melanoma
18303,SUNITINIB,Uveal Melanoma
18304,UCN-01,melanoma
18305,DASATINIB,cutaneous melanoma
18309,PROPRANOLOL,melanoma
18311,DASATINIB,head and neck squamous cell carcinoma
18312,DOCETAXEL,oral squamous cell carcinoma
18313,FLUDARABINE PHOSPHATE,cutaneous melanoma
18314,GEMCITABINE,squamous cell carcinoma
18315,ACETAMINOPHEN,cutaneous melanoma
18317,IPILIMUMAB,basal cell carcinoma
18320,AFATINIB,squamous cell carcinoma
18321,RIVOCERANIB,esophageal squamous cell carcinoma
18322,LAPATINIB,melanoma
18328,OMEPRAZOLE,oral squamous cell carcinoma
18331,DASATINIB,melanoma
18332,BEVACIZUMAB,metastatic melanoma
18333,METFORMIN,oral squamous cell carcinoma
18334,REGORAFENIB,melanoma
18336,DASATINIB,metastatic melanoma
18338,ENTINOSTAT,Uveal Melanoma
18340,FLUDARABINE PHOSPHATE,Uveal Melanoma
18341,BRENTUXIMAB VEDOTIN,Sezary's disease
18344,VINBLASTINE,metastatic melanoma
18345,SORAFENIB,salivary gland squamous cell carcinoma
18348,CILENGITIDE,melanoma
18349,ACITRETIN,melanoma
18352,METFORMIN,head and neck squamous cell carcinoma
18353,ANLOTINIB,esophageal squamous cell carcinoma
18360,CAPECITABINE,nasal cavity and paranasal sinus squamous cell carcinoma
18362,CABOZANTINIB,melanoma
18364,FLUDARABINE PHOSPHATE,adult T-cell leukemia/lymphoma
18365,THALIDOMIDE,cutaneous melanoma
18370,ROSIGLITAZONE,Sezary's disease
18371,IXABEPILONE,verrucous carcinoma
18373,DOCETAXEL,nasal cavity and paranasal sinus squamous cell carcinoma
18376,VELIPARIB,metastatic melanoma
18378,VORINOSTAT,Uveal Melanoma
18379,PANOBINOSTAT,Cutaneous T-cell lymphoma
18381,SORAFENIB,verrucous carcinoma
18383,ALVOCIDIB,cutaneous melanoma
18385,IXABEPILONE,endometrial adenosquamous carcinoma
18386,BELINOSTAT,Cutaneous T-cell lymphoma
18390,DOCETAXEL,laryngeal squamous cell carcinoma
18396,OLAPARIB,head and neck squamous cell carcinoma
18398,PEMBROLIZUMAB,oropharynx squamous cell carcinoma
18401,DACOMITINIB,head and neck squamous cell carcinoma
18402,IXABEPILONE,salivary gland squamous cell carcinoma
18403,SODIUM DICHLOROACETATE,head and neck squamous cell carcinoma
18406,TANESPIMYCIN,melanoma
18407,INFIGRATINIB,oropharynx squamous cell carcinoma
18408,PACLITAXEL,Ocular Melanoma
18412,AXITINIB,melanoma
18415,DOXYCYCLINE,Sezary's disease
18416,VINCRISTINE,Uveal Melanoma
18418,BUPARLISIB,melanoma
18421,GEMCITABINE,Vulvar Squamous Cell Carcinoma
18423,VISTUSERTIB,squamous cell carcinoma
18425,VANDETANIB,lip and oral cavity squamous cell carcinoma
18426,SARGRAMOSTIM,Ocular Melanoma
18427,SUNITINIB,head and neck squamous cell carcinoma
18429,TACROLIMUS,extranodal nasal NK/T cell lymphoma
18430,ATEZOLIZUMAB,Sezary's disease
18434,REGORAFENIB,cutaneous melanoma
18435,TIPIFARNIB,melanoma
18441,BELINOSTAT,adult T-cell leukemia/lymphoma
18443,MK-2206,melanoma
18447,BUPARLISIB,head and neck squamous cell carcinoma
18452,RIVOCERANIB,melanoma
18455,PACLITAXEL,cutaneous squamous cell carcinoma
18456,SUNITINIB,Ocular Melanoma
18457,VORINOSTAT,mycosis fungoides
18460,CEDIRANIB,Ocular Melanoma
18466,PACLITAXEL,human papillomavirus-related squamous cell carcinoma
18472,SUNITINIB,acral lentiginous melanoma (disease)
18474,GEMCITABINE,endometrial adenosquamous carcinoma
18480,ATEZOLIZUMAB,skin squamous cell carcinoma
18482,SORAFENIB,Uveal Melanoma
18483,VALPROIC ACID,head and neck squamous cell carcinoma
18485,ADAVOSERTIB,hypopharyngeal squamous cell carcinoma
18489,LENALIDOMIDE,adult T-cell leukemia/lymphoma
18500,SAGOPILONE,melanoma
18507,LENALIDOMIDE,Cutaneous T-cell lymphoma
18511,BORTEZOMIB,melanoma
18515,COBIMETINIB,cutaneous melanoma
18518,SUNITINIB,metastatic melanoma
18519,CRIZOTINIB,Uveal Melanoma
18522,FLUDARABINE PHOSPHATE,Sezary's disease
18523,THALIDOMIDE,melanoma
18525,NIRAPARIB,squamous cell carcinoma
18526,CAPECITABINE,laryngeal squamous cell carcinoma
18538,SUNITINIB,nasal cavity and paranasal sinus squamous cell carcinoma
18547,NIVOLUMAB,cutaneous squamous cell carcinoma
18548,PALBOCICLIB,melanoma
18550,ROMIDEPSIN,melanoma
18552,RAMUCIRUMAB,melanoma
18556,PACLITAXEL,oropharynx squamous cell carcinoma
18558,ALEMTUZUMAB,mycosis fungoides
18559,PEMBROLIZUMAB,extranodal nasal NK/T cell lymphoma
18562,PACLITAXEL,Uveal Melanoma
18563,METHOTREXATE,adult T-cell leukemia/lymphoma
18565,MYCOPHENOLATE MOFETIL,adult T-cell leukemia/lymphoma
18569,IPILIMUMAB,Ocular Melanoma
18573,NIVOLUMAB,Uveal Melanoma
18577,SEMAXANIB,cutaneous melanoma
18578,IPILIMUMAB,Uveal Melanoma
18579,DINACICLIB,lentigo maligna melanoma
18580,GEMCITABINE,adult T-cell leukemia/lymphoma
18581,DOCETAXEL,metastatic melanoma
18583,INTERFERON ALFA-2B,adult T-cell leukemia/lymphoma
18589,PEMBROLIZUMAB,Sezary's disease
18595,SUNITINIB,laryngeal squamous cell carcinoma
18597,LAPATINIB,head and neck squamous cell carcinoma
18602,CARMUSTINE,cutaneous melanoma
18608,MYCOPHENOLATE MOFETIL,mycosis fungoides
18609,IXABEPILONE,laryngeal squamous cell carcinoma
18612,DEXAMETHASONE,human papillomavirus-related squamous cell carcinoma
18614,SELUMETINIB,melanoma
18616,GEFITINIB,skin cancer
18619,FLUDARABINE PHOSPHATE,extranodal nasal NK/T cell lymphoma
18622,BEVACIZUMAB,cutaneous melanoma
18625,VINORELBINE,cutaneous melanoma
18627,CEDIRANIB,acral lentiginous melanoma (disease)
18632,DOXYCYCLINE,oral squamous cell carcinoma
18637,CETUXIMAB,skin squamous cell carcinoma
18642,PASIREOTIDE,Uveal Melanoma
18645,ISOTRETINOIN,mycosis fungoides
18646,MYCOPHENOLATE MOFETIL,Sezary's disease
18651,AFLIBERCEPT,cutaneous melanoma
18652,CABOZANTINIB,Uveal Melanoma
18655,ALEMTUZUMAB,Sezary's disease
18656,COBIMETINIB,skin squamous cell carcinoma
18660,MK-2206,head and neck squamous cell carcinoma
18662,UPROSERTIB,Uveal Melanoma
18666,ERLOTINIB,skin cancer
18668,AXITINIB,head and neck squamous cell carcinoma
18673,IMATINIB,acral lentiginous melanoma (disease)
18674,PAZOPANIB,squamous cell carcinoma of penis
18685,TEMSIROLIMUS,melanoma
18692,INTERFERON GAMMA-1B,mycosis fungoides
18701,CETUXIMAB,verrucous carcinoma
18702,TACROLIMUS,Sezary's disease
18705,EVEROLIMUS,cutaneous melanoma
18707,CARMUSTINE,melanoma
18708,DIPHENHYDRAMINE,human papillomavirus-related squamous cell carcinoma
18710,VORINOSTAT,Sezary's disease
18712,VATALANIB,cutaneous melanoma
18716,IMATINIB,Dermatofibrosarcoma protuberans
18727,POZIOTINIB,esophageal squamous cell carcinoma
18731,TAMOXIFEN,cutaneous melanoma
18733,SELUMETINIB,mucosal melanoma
18736,DECITABINE,melanoma
18740,IMATINIB,melanoma
18741,BRENTUXIMAB VEDOTIN,adult T-cell leukemia/lymphoma
18742,BEVACIZUMAB,melanoma
18745,PAZOPANIB,cutaneous melanoma
18749,PALBOCICLIB,head and neck squamous cell carcinoma
18752,INTERFERON GAMMA-1B,cutaneous melanoma
18754,CABAZITAXEL,head and neck squamous cell carcinoma
18756,NIVOLUMAB,oropharynx squamous cell carcinoma
18758,INFIGRATINIB,melanoma
18768,DINACICLIB,mucosal melanoma
18770,ASPIRIN,cutaneous melanoma
18779,DACOMITINIB,squamous cell carcinoma
18792,PEGINTERFERON ALFA-2B,adult T-cell leukemia/lymphoma
18796,METHYLPREDNISOLONE,melanoma
18797,NIRAPARIB,metastatic melanoma
18805,TOFACITINIB,extranodal nasal NK/T cell lymphoma
18806,SELUMETINIB,cutaneous melanoma
18807,EPACADOSTAT,head and neck squamous cell carcinoma
18809,PAZOPANIB,Dermatofibrosarcoma protuberans
18811,NIMOTUZUMAB,head and neck squamous cell carcinoma
18816,CEDIRANIB,lentigo maligna melanoma
18818,DOXYCYCLINE,mycosis fungoides
18821,PEMBROLIZUMAB,esophageal squamous cell carcinoma
18823,OLAPARIB,metastatic melanoma
18824,FILGRASTIM,melanoma
18827,MELATONIN,melanoma
18831,DENILEUKIN DIFTITOX,melanoma
18832,AFATINIB,esophageal squamous cell carcinoma
18834,PANITUMUMAB,head and neck squamous cell carcinoma
18850,PEMBROLIZUMAB,Uveal Melanoma
18852,NIVOLUMAB,oral squamous cell carcinoma
18853,TEMSIROLIMUS,cutaneous melanoma
18862,AXITINIB,mucosal melanoma
18873,SEMAXANIB,melanoma
18874,RIBOCICLIB,melanoma
18882,PIOGLITAZONE,squamous cell carcinoma
18897,FILGRASTIM,head and neck squamous cell carcinoma
18899,AVELUMAB,skin squamous cell carcinoma
18902,PEMBROLIZUMAB,desmoplastic melanoma
18916,IMATINIB,mucosal melanoma
18921,DECITABINE,extranodal nasal NK/T cell lymphoma
18923,INDOMETHACIN,cutaneous melanoma
18929,IPILIMUMAB,head and neck squamous cell carcinoma
18934,MYCOPHENOLATE MOFETIL,extranodal nasal NK/T cell lymphoma
18943,IMATINIB,metastatic melanoma
18944,PEGINTERFERON ALFA-2B,Ocular Melanoma
18950,PEXIDARTINIB,melanoma
18953,CETUXIMAB,laryngeal squamous cell carcinoma
18963,TEMSIROLIMUS,endometrial adenosquamous carcinoma
18973,TEMSIROLIMUS,mucosal melanoma
18982,TRETINOIN,cutaneous melanoma
18983,PEMBROLIZUMAB,skin squamous cell carcinoma
18985,NIVOLUMAB,basal cell carcinoma
18992,PALBOCICLIB,squamous cell carcinoma
18997,LENVATINIB,mucosal melanoma
19004,AFLIBERCEPT,metastatic melanoma
19007,ERLOTINIB,melanoma
19009,GANETESPIB,melanoma
19010,NIMOTUZUMAB,cervical squamous cell carcinoma
19014,SORAFENIB,nasal cavity and paranasal sinus squamous cell carcinoma
19037,CAPECITABINE,head and neck squamous cell carcinoma
19055,PEMBROLIZUMAB,mycosis fungoides
19061,INDOMETHACIN,head and neck squamous cell carcinoma
19062,BARDOXOLONE METHYL,melanoma
19063,RETASPIMYCIN,metastatic melanoma
19070,ADAVOSERTIB,laryngeal squamous cell carcinoma
19083,BEVACIZUMAB,Uveal Melanoma
19084,SARGRAMOSTIM,metastatic melanoma
19085,PAZOPANIB,head and neck squamous cell carcinoma
19086,BEXAROTENE,Sezary's disease
19091,ENTRECTINIB,cutaneous melanoma
19103,LAPATINIB,esophageal squamous cell carcinoma
19109,CIXUTUMUMAB,head and neck squamous cell carcinoma
19112,BEVACIZUMAB,endometrial adenosquamous carcinoma
19118,ATEZOLIZUMAB,metastatic melanoma
19119,NIVOLUMAB,human papillomavirus-related squamous cell carcinoma
19125,CIXUTUMUMAB,melanoma
19136,ATEZOLIZUMAB,mycosis fungoides
19139,IPILIMUMAB,Gorlin syndrome
19140,LAPATINIB,salivary gland squamous cell carcinoma
19141,CAPIVASERTIB,squamous cell carcinoma
19145,LAPATINIB,laryngeal squamous cell carcinoma
19147,ALDESLEUKIN,mucosal melanoma
19153,TEMSIROLIMUS,head and neck squamous cell carcinoma
19158,BEVACIZUMAB,cervical squamous cell carcinoma
19164,NIVOLUMAB,squamous cell carcinoma
19165,TREMELIMUMAB,Uveal Melanoma
19172,ETARACIZUMAB,metastatic melanoma
19174,EVEROLIMUS,head and neck squamous cell carcinoma
19195,PREDNISONE,melanoma
19203,CRIZOTINIB,squamous cell carcinoma
19207,OMEPRAZOLE,head and neck squamous cell carcinoma
19238,SIROLIMUS,skin carcinoma
19240,ADAVOSERTIB,oropharynx squamous cell carcinoma
19252,DEXAMETHASONE,adult T-cell leukemia/lymphoma
19253,PEGFILGRASTIM,head and neck squamous cell carcinoma
19264,ATEZOLIZUMAB,cutaneous melanoma
19266,PEMETREXED,head and neck squamous cell carcinoma
19271,INDOMETHACIN,cervical squamous cell carcinoma
19272,EVEROLIMUS,metastatic melanoma
19276,NIVOLUMAB,esophageal squamous cell carcinoma
19299,AZACITIDINE,metastatic melanoma
19303,UPROSERTIB,melanoma
19308,BEVACIZUMAB,extranodal nasal NK/T cell lymphoma
19318,FLUOROURACIL,oropharynx squamous cell carcinoma
19333,CELECOXIB,non-melanoma skin carcinoma
19336,RIVOCERANIB,head and neck squamous cell carcinoma
19341,AFATINIB,squamous cell carcinoma of penis
19358,CELECOXIB,melanoma
19360,RIVOCERANIB,mucosal melanoma
19368,LENALIDOMIDE,squamous cell carcinoma
19371,BOSENTAN,melanoma
19385,GEFITINIB,squamous cell carcinoma
19386,DICLOFENAC,basal cell carcinoma
19401,PEMBROLIZUMAB,laryngeal squamous cell carcinoma
19405,AVELUMAB,esophageal squamous cell carcinoma
19415,TRETINOIN,melanoma
19431,CEMIPLIMAB,skin squamous cell carcinoma
19432,SELINEXOR,squamous cell carcinoma
19438,NIVOLUMAB,mucosal melanoma
19440,EPACADOSTAT,mucosal melanoma
19441,IRINOTECAN,squamous cell carcinoma
19443,TEMSIROLIMUS,squamous cell carcinoma
19456,SELUMETINIB,endometrial adenosquamous carcinoma
19462,IMIQUIMOD,melanoma
19464,PEMBROLIZUMAB,acral lentiginous melanoma (disease)
19468,PEMBROLIZUMAB,cutaneous squamous cell carcinoma
19481,MYCOPHENOLATE MOFETIL,cutaneous melanoma
19488,CYCLOSPORINE,cutaneous melanoma
19494,AFLIBERCEPT,Uveal Melanoma
19496,TREMELIMUMAB,oropharynx squamous cell carcinoma
19521,CETUXIMAB,esophageal squamous cell carcinoma
19522,TACROLIMUS,mycosis fungoides
19532,PEGINTERFERON ALFA-2B,squamous cell carcinoma
19538,PROPRANOLOL,cutaneous melanoma
19550,SARACATINIB,melanoma
19552,ROSIGLITAZONE,mycosis fungoides
19554,CM-082,mucosal melanoma
19555,BEVACIZUMAB,head and neck squamous cell carcinoma
19564,FLUOROURACIL,oral squamous cell carcinoma
19568,CEMIPLIMAB,basal cell carcinoma
19573,METHOTREXATE,Sezary's disease
19575,VALPROIC ACID,melanoma
19590,ALDESLEUKIN,Uveal Melanoma
19593,RITUXIMAB,cutaneous melanoma
19616,ROGARATINIB,squamous cell carcinoma
19617,ERLOTINIB,cervical squamous cell carcinoma
19631,TACROLIMUS,adult T-cell leukemia/lymphoma
19634,TAMOXIFEN,Ocular Melanoma
19635,SARGRAMOSTIM,oral squamous cell carcinoma
19657,SELUMETINIB,squamous cell carcinoma
19660,DURVALUMAB,squamous cell carcinoma
19662,TREMELIMUMAB,cutaneous melanoma
19667,PREDNISOLONE,melanoma
19684,HYDROXYUREA,human papillomavirus-related squamous cell carcinoma
19688,CABOZANTINIB,squamous cell carcinoma of penis
19696,DENOSUMAB,cutaneous melanoma
19702,FLUOROURACIL,human papillomavirus-related squamous cell carcinoma
19713,DINACICLIB,acral lentiginous melanoma (disease)
19721,EPACADOSTAT,Uveal Melanoma
19734,TOCILIZUMAB,melanoma
19777,EVEROLIMUS,Uveal Melanoma
19797,RITUXIMAB,metastatic melanoma
19805,CETUXIMAB,nasal cavity and paranasal sinus squamous cell carcinoma
19836,PEGFILGRASTIM,melanoma
19847,RAMUCIRUMAB,esophageal squamous cell carcinoma
19851,RUXOLITINIB,head and neck squamous cell carcinoma
19853,IPILIMUMAB,cutaneous squamous cell carcinoma
19869,BEVACIZUMAB,squamous cell carcinoma
19872,BEVACIZUMAB,mucosal melanoma
19888,CEMIPLIMAB,melanoma
19902,AVELUMAB,squamous cell carcinoma of penis
19906,LAPATINIB,nasal cavity and paranasal sinus squamous cell carcinoma
19908,ERLOTINIB,skin squamous cell carcinoma
19918,LAPATINIB,squamous cell carcinoma
19930,PIMASERTIB,cutaneous melanoma
19931,CALCITRIOL,basal cell carcinoma
19941,CETUXIMAB,cervical squamous cell carcinoma
19949,CETUXIMAB,salivary gland squamous cell carcinoma
19959,BEVACIZUMAB,Ocular Melanoma
19961,CELECOXIB,oral squamous cell carcinoma
19982,PANITUMUMAB,esophageal squamous cell carcinoma
19991,DEXAMETHASONE,head and neck squamous cell carcinoma
20001,ABEMACICLIB,melanoma
20004,DEXAMETHASONE,melanoma
20007,TANESPIMYCIN,cutaneous melanoma
20011,NIVOLUMAB,Gorlin syndrome
20014,OMEPRAZOLE,cervical squamous cell carcinoma
20019,EPACADOSTAT,cutaneous melanoma
20037,PEMBROLIZUMAB,Vulvar Squamous Cell Carcinoma
20055,SIROLIMUS,Cutaneous T-cell lymphoma
20093,CETUXIMAB,squamous cell carcinoma of penis
20096,DURVALUMAB,oropharynx squamous cell carcinoma
20109,NIMOTUZUMAB,oral squamous cell carcinoma
20115,ADAVOSERTIB,lip and oral cavity squamous cell carcinoma
20128,RIVOCERANIB,squamous cell carcinoma
20148,PEMBROLIZUMAB,squamous cell carcinoma of penis
20153,EVEROLIMUS,Cutaneous T-cell lymphoma
20177,HYDROCORTISONE,melanoma
20194,LIDOCAINE,squamous cell carcinoma
20196,DOVITINIB,melanoma
20197,ALDESLEUKIN,Ocular Melanoma
20198,PACLITAXEL,verrucous carcinoma
20200,UCN-01,verrucous carcinoma
20201,MIDAZOLAM,metastatic melanoma
20202,IMATINIB,cutaneous melanoma
20203,VORINOSTAT,salivary gland squamous cell carcinoma
20204,TANESPIMYCIN,adult T-cell leukemia/lymphoma
20205,ROMIDEPSIN,Sezary's disease
20206,METFORMIN,oropharynx squamous cell carcinoma
20207,PACLITAXEL,nasal cavity and paranasal sinus squamous cell carcinoma
20208,VOXTALISIB,melanoma
20209,DASATINIB,extranodal nasal NK/T cell lymphoma
20210,SOTRASTAURIN,Uveal Melanoma
20211,NINTEDANIB,cutaneous melanoma
20213,RIBOCICLIB,head and neck squamous cell carcinoma
20214,PANOBINOSTAT,melanoma
20215,MUPARFOSTAT,melanoma
20216,AZACITIDINE,cutaneous melanoma
20218,CAFFEINE,metastatic melanoma
20222,DIGOXIN,melanoma
20223,IMIQUIMOD,squamous cell carcinoma
20224,SORAFENIB,squamous cell carcinoma
20225,DINACICLIB,melanoma
20226,UCN-01,nasal cavity and paranasal sinus squamous cell carcinoma
20228,UCN-01,basal cell carcinoma
20229,VORINOSTAT,melanoma
20233,DEXAMETHASONE,Cutaneous T-cell lymphoma
20234,UCN-01,laryngeal squamous cell carcinoma
20236,FLUDARABINE PHOSPHATE,Ocular Melanoma
20238,PACLITAXEL,laryngeal squamous cell carcinoma
20239,CYCLOSPORINE,Sezary's disease
20241,TANESPIMYCIN,mycosis fungoides
20244,PACLITAXEL POLIGLUMEX,squamous cell carcinoma
20250,DASATINIB,adult T-cell leukemia/lymphoma
20254,MOCETINOSTAT,melanoma
20260,FLUOROURACIL,melanoma
20264,CEDIRANIB,cutaneous melanoma
20265,MOCETINOSTAT,oral squamous cell carcinoma
20266,IBUPROFEN,choroidal melanoma
20267,ENTRECTINIB,Uveal Melanoma
20269,IMIQUIMOD,cutaneous melanoma
20271,HYDROXYCHLOROQUINE,melanoma
20278,DURVALUMAB,oral squamous cell carcinoma
20281,PEGINTERFERON ALFA-2B,metastatic melanoma
20291,CEMIPLIMAB,head and neck squamous cell carcinoma
20293,CEDIRANIB,metastatic melanoma
20295,VORINOSTAT,nasal cavity and paranasal sinus squamous cell carcinoma
20296,BELINOSTAT,mycosis fungoides
20301,ROMIDEPSIN,mycosis fungoides
20303,CAPECITABINE,melanoma
20304,METHOTREXATE,cutaneous melanoma
20305,ALDESLEUKIN,mycosis fungoides
20306,BORTEZOMIB,Sezary's disease
20307,DASATINIB,Sezary's disease
20314,GEMCITABINE,mycosis fungoides
20319,INFLIXIMAB,melanoma
20323,GEMCITABINE,Cutaneous T-cell lymphoma
20328,IRINOTECAN,basal cell carcinoma
20329,DASATINIB,mycosis fungoides
20331,RAMUCIRUMAB,cutaneous melanoma
20333,BRENTUXIMAB VEDOTIN,Cutaneous T-cell lymphoma
20338,OBATOCLAX,metastatic melanoma
20345,CILENGITIDE,squamous cell carcinoma
20346,PEXIDARTINIB,metastatic melanoma
20347,PIMASERTIB,melanoma
20349,PANOBINOSTAT,metastatic melanoma
20354,DOXYCYCLINE,melanoma
20357,VATALANIB,melanoma
20363,TANESPIMYCIN,Sezary's disease
20369,PACLITAXEL,Endometrial Squamous Cell Carcinoma
20371,DECITABINE,metastatic melanoma
20372,TREMELIMUMAB,oral squamous cell carcinoma
20373,DECITABINE,Cutaneous T-cell lymphoma
20379,MUPARFOSTAT,cutaneous melanoma
20385,ABEMACICLIB,head and neck squamous cell carcinoma
20386,PEGFILGRASTIM,Cutaneous T-cell lymphoma
20387,AZACITIDINE,squamous cell carcinoma
20397,DECITABINE,cutaneous melanoma
20403,VORINOSTAT,laryngeal squamous cell carcinoma
20405,ALDESLEUKIN,Sezary's disease
20415,VINCRISTINE,melanoma
20438,BUPROPION,metastatic melanoma
20443,VORINOSTAT,verrucous carcinoma
20445,BINIMETINIB,Uveal Melanoma
20453,BEVACIZUMAB,Endometrial Squamous Cell Carcinoma
20456,ETARACIZUMAB,melanoma
20461,PEMBROLIZUMAB,basal cell carcinoma
20472,FLUOROURACIL,basal cell carcinoma
20482,PANITUMUMAB,skin squamous cell carcinoma
20483,CABOZANTINIB,squamous cell carcinoma
20492,RITUXIMAB,squamous cell carcinoma
20496,ADAVOSERTIB,head and neck squamous cell carcinoma
20500,BORTEZOMIB,mycosis fungoides
20504,TRASTUZUMAB,mycosis fungoides
20511,PACLITAXEL,salivary gland squamous cell carcinoma
20516,DEXTROMETHORPHAN,metastatic melanoma
20536,IRINOTECAN,adult T-cell leukemia/lymphoma
20546,IRINOTECAN,Sezary's disease
20560,IRINOTECAN,mycosis fungoides
20562,DURVALUMAB,melanoma
20563,CABOZANTINIB,metastatic melanoma
20570,SELINEXOR,melanoma
20572,CARMUSTINE,Cutaneous T-cell lymphoma
20573,DURVALUMAB,Cutaneous T-cell lymphoma
20584,SIROLIMUS,cutaneous squamous cell carcinoma
20585,DENOSUMAB,melanoma
20626,OMEPRAZOLE,metastatic melanoma
20627,RITUXIMAB,mycosis fungoides
20634,CALCITRIOL,metastatic melanoma
20638,IRINOTECAN,verrucous carcinoma
20655,FULVESTRANT,head and neck squamous cell carcinoma
20658,DOXORUBICIN,Cutaneous T-cell lymphoma
20676,BORTEZOMIB,squamous cell carcinoma
20686,LENVATINIB,metastatic melanoma
20696,OLAPARIB,squamous cell carcinoma
20705,SARGRAMOSTIM,Bladder Squamous Cell Carcinoma
20733,ARSENIC TRIOXIDE,metastatic melanoma
20753,COPANLISIB,squamous cell carcinoma
20755,CYCLOSPORINE,mycosis fungoides
20761,PREDNISONE,cutaneous squamous cell carcinoma
20767,ABEMACICLIB,cutaneous melanoma
20778,PIOGLITAZONE,melanoma
20789,AVELUMAB,squamous cell carcinoma
20801,LINSITINIB,head and neck squamous cell carcinoma
20803,SELUMETINIB,metastatic melanoma
20806,BORTEZOMIB,adult T-cell leukemia/lymphoma
20830,TREMELIMUMAB,metastatic melanoma
20842,ROSUVASTATIN,metastatic melanoma
20846,CARMUSTINE,Sezary's disease
20862,CARMUSTINE,mycosis fungoides
20866,PEMBROLIZUMAB,Cutaneous T-cell lymphoma
20870,NIVOLUMAB,mycosis fungoides
20879,IRINOTECAN,nasal cavity and paranasal sinus squamous cell carcinoma
20888,EVEROLIMUS,cutaneous squamous cell carcinoma
20900,AVELUMAB,melanoma
20902,IRINOTECAN,laryngeal squamous cell carcinoma
20918,ADAVOSERTIB,squamous cell carcinoma
20921,RAMUCIRUMAB,head and neck squamous cell carcinoma
20933,GEFITINIB,non-melanoma skin carcinoma
20950,ARSENIC TRIOXIDE,basal cell carcinoma
20954,TRASTUZUMAB,laryngeal squamous cell carcinoma
20960,CHOLECALCIFEROL,skin cancer
20964,IMIQUIMOD,cervical squamous cell carcinoma
20965,DOXYCYCLINE,Cutaneous T-cell lymphoma
20966,PRAMLINTIDE,cutaneous squamous cell carcinoma
20971,IMIQUIMOD,Cutaneous T-cell lymphoma
